date,mess_name,meal_type,menu_name,hostel_occupancy_pct,exam_day,holiday,special_event,temperature_c,rainfall_mm,humidity_pct,students_expected,students_present,food_prepared_kg,food_consumed_kg,food_wasted_kg,food_cost_per_kg,day_of_week,day_of_week_num,month,is_weekend,semester,portion_kg,planned_preparation_kg,waste_rate
2025-01-01,Academic Block Mess,Breakfast,Sandwich,85.62,0,0,0,28.81,0.08,58.53,338,317,108.43,90.21,18.220000000000013,90,Wednesday,2,1,0,4,0.3,109.512,0.16803467674997705
2025-01-01,Academic Block Mess,Dinner,Khichdi,85.62,0,0,0,28.81,0.08,58.53,568,540,254.59,208.76,45.83000000000001,105,Wednesday,2,1,0,4,0.4,245.37600000000003,0.18001492595938573
2025-01-01,Academic Block Mess,Lunch,Biryani,85.62,0,0,0,28.81,0.08,58.53,719,662,341.43,279.94,61.49000000000001,110,Wednesday,2,1,0,4,0.45,349.434,0.180095480772047
2025-01-01,Central Mess,Breakfast,Poha,80.52,0,0,0,28.81,0.08,58.53,484,443,152.76,123.11,29.64999999999999,90,Wednesday,2,1,0,4,0.3,156.816,0.19409531290913848
2025-01-01,Central Mess,Dinner,Pasta,80.52,0,0,0,28.81,0.08,58.53,785,738,340.47,277.81,62.660000000000025,105,Wednesday,2,1,0,4,0.4,339.12,0.18403970981290574
2025-01-01,Central Mess,Lunch,Paneer_Roti,80.52,0,0,0,28.81,0.08,58.53,995,910,490.33,381.11,109.21999999999997,110,Wednesday,2,1,0,4,0.45,483.57000000000005,0.22274794526135455
2025-01-01,Hostel A Mess,Breakfast,Poha,77.87,0,0,0,28.81,0.08,58.53,373,350,125.88,101.75,24.129999999999995,90,Wednesday,2,1,0,4,0.3,120.852,0.19169049888782966
2025-01-01,Hostel A Mess,Dinner,Khichdi,77.87,0,0,0,28.81,0.08,58.53,590,538,252.05,198.09,53.96000000000001,105,Wednesday,2,1,0,4,0.4,254.88000000000002,0.21408450704225354
2025-01-01,Hostel A Mess,Lunch,Biryani,77.87,0,0,0,28.81,0.08,58.53,791,771,399.53,328.6,70.92999999999995,110,Wednesday,2,1,0,4,0.45,384.426,0.17753360198232912
2025-01-01,Hostel B Mess,Breakfast,Poha,83.51,0,0,0,28.81,0.08,58.53,470,453,157.96,129.39,28.57000000000002,90,Wednesday,2,1,0,4,0.3,152.28,0.18086857432261344
2025-01-01,Hostel B Mess,Dinner,Chole_Bhature,83.51,0,0,0,28.81,0.08,58.53,817,792,361.81,303.73,58.079999999999984,105,Wednesday,2,1,0,4,0.4,352.944,0.16052624305574745
2025-01-01,Hostel B Mess,Lunch,Rajma_Rice,83.51,0,0,0,28.81,0.08,58.53,917,835,458.11,358.08,100.03000000000003,110,Wednesday,2,1,0,4,0.45,445.6620000000001,0.21835367051581503
2025-01-01,North Mess,Breakfast,Upma,81.98,0,0,0,28.81,0.08,58.53,425,418,141.26,122.59,18.669999999999987,90,Wednesday,2,1,0,4,0.3,137.70000000000002,0.13216763414979463
2025-01-01,North Mess,Dinner,Khichdi,81.98,0,0,0,28.81,0.08,58.53,683,661,295.58,261.21,34.370000000000005,105,Wednesday,2,1,0,4,0.4,295.056,0.11627985655321743
2025-01-01,North Mess,Lunch,Rajma_Rice,81.98,0,0,0,28.81,0.08,58.53,891,820,441.01,341.13,99.88,110,Wednesday,2,1,0,4,0.45,433.026,0.22648012516722976
2025-01-01,South Mess,Breakfast,Upma,81.3,0,0,0,28.81,0.08,58.53,365,335,119.57,92.77,26.799999999999997,90,Wednesday,2,1,0,4,0.3,118.26,0.2241364890858911
2025-01-01,South Mess,Dinner,Roti_Dal,81.3,0,0,0,28.81,0.08,58.53,657,619,280.42,230.04,50.380000000000024,105,Wednesday,2,1,0,4,0.4,283.824,0.17965908280436496
2025-01-01,South Mess,Lunch,Rajma_Rice,81.3,0,0,0,28.81,0.08,58.53,799,773,408.84,327.96,80.88,110,Wednesday,2,1,0,4,0.45,388.314,0.19782800117405341
2025-01-02,Academic Block Mess,Breakfast,Upma,79.64,0,0,0,24.86,5.04,65.16,316,300,102.7,88.03,14.670000000000002,90,Thursday,3,1,0,4,0.3,102.384,0.14284323271665045
2025-01-02,Academic Block Mess,Dinner,Pasta,79.64,0,0,0,24.86,5.04,65.16,560,551,238.52,203.46,35.06,105,Thursday,3,1,0,4,0.4,241.92000000000002,0.14698977024987422
2025-01-02,Academic Block Mess,Lunch,Biryani,79.64,0,0,0,24.86,5.04,65.16,757,703,386.9,297.48,89.41999999999996,110,Thursday,3,1,0,4,0.45,367.90200000000004,0.23111915223571974
