date,mess_name,meal_type,menu_name,hostel_occupancy_pct,exam_day,holiday,special_event,temperature_c,rainfall_mm,humidity_pct,students_expected,students_present,food_prepared_kg,food_consumed_kg,food_wasted_kg,food_cost_per_kg,day_of_week,day_of_week_num,month,is_weekend,semester,portion_kg,planned_preparation_kg,waste_rate,lag_1,lag_7,rolling_7_demand
2025-01-01,Academic Block Mess,Breakfast,Sandwich,85.62,0,0,0,28.81,0.08,58.53,338,317,108.43,90.21,18.220000000000013,90,Wednesday,2,1,0,4,0.3,109.512,0.168034676749977,,,
2025-01-02,Academic Block Mess,Breakfast,Upma,79.64,0,0,0,24.86,5.04,65.16,316,300,102.7,88.03,14.670000000000002,90,Thursday,3,1,0,4,0.3,102.384,0.1428432327166504,317.0,,
2025-01-03,Academic Block Mess,Breakfast,Upma,96.73,0,0,0,30.46,0.14,54.67,343,313,115.68,88.43,27.25,90,Friday,4,1,0,4,0.3,111.132,0.2355636237897648,300.0,,
2025-01-04,Academic Block Mess,Breakfast,Idli_Dosa,88.05,0,0,0,25.48,2.4,54.63,275,260,92.3,76.12,16.179999999999993,90,Saturday,5,1,1,4,0.3,89.10000000000001,0.1752979414951245,313.0,,
2025-01-05,Academic Block Mess,Breakfast,Idli_Dosa,84.31,0,0,0,27.62,7.11,72.73,300,294,100.25,82.21,18.040000000000006,90,Sunday,6,1,1,4,0.3,97.2,0.1799501246882793,260.0,,
2025-01-06,Academic Block Mess,Breakfast,Sandwich,89.09,0,0,0,26.22,0.0,57.71,363,340,115.13,99.23,15.899999999999991,90,Monday,0,1,0,4,0.3,117.612,0.1381047511508728,294.0,,
2025-01-07,Academic Block Mess,Breakfast,Poha,76.07,0,0,0,27.68,3.44,58.6,344,317,114.14,93.2,20.94,90,Tuesday,1,1,0,4,0.3,111.45600000000002,0.1834589101103907,340.0,,
2025-01-08,Academic Block Mess,Breakfast,Paratha,85.34,0,0,0,24.85,0.0,59.13,404,364,128.48,107.06,21.419999999999987,90,Wednesday,2,1,0,4,0.3,130.896,0.1667185554171854,317.0,317.0,305.85714285714283
2025-01-09,Academic Block Mess,Breakfast,Sandwich,84.34,1,0,0,24.04,0.26,51.06,313,298,105.0,88.4,16.599999999999994,90,Thursday,3,1,0,4,0.3,101.412,0.158095238095238,364.0,300.0,312.57142857142856
2025-01-10,Academic Block Mess,Breakfast,Poha,87.93,0,0,0,26.17,3.34,63.04,346,321,112.46,91.33,21.129999999999995,90,Friday,4,1,0,4,0.3,112.104,0.1878890272096745,298.0,313.0,312.2857142857143
2025-01-11,Academic Block Mess,Breakfast,Sandwich,81.24,0,0,0,29.06,0.0,62.24,270,266,87.72,77.54,10.179999999999993,90,Saturday,5,1,1,4,0.3,87.48,0.1160510715914271,321.0,260.0,313.42857142857144
2025-01-12,Academic Block Mess,Breakfast,Paratha,83.13,0,0,0,29.05,0.0,49.46,301,274,101.58,76.64,24.94,90,Sunday,6,1,1,4,0.3,97.524,0.2455207718054735,266.0,294.0,314.2857142857143
2025-01-13,Academic Block Mess,Breakfast,Sandwich,83.63,0,0,0,28.74,0.0,61.76,344,319,113.6,92.58,21.02,90,Monday,0,1,0,4,0.3,111.45600000000002,0.1850352112676056,274.0,340.0,311.42857142857144
2025-01-14,Academic Block Mess,Breakfast,Sandwich,90.64,0,0,0,29.21,1.09,57.96,344,338,113.74,93.32,20.42,90,Tuesday,1,1,0,4,0.3,111.45600000000002,0.1795322665728855,319.0,317.0,308.42857142857144
2025-01-15,Academic Block Mess,Breakfast,Sandwich,87.33,0,0,0,24.2,2.19,50.66,349,344,110.82,101.21,9.61,90,Wednesday,2,1,0,4,0.3,113.076,0.0867171990615412,338.0,364.0,311.42857142857144
2025-01-16,Academic Block Mess,Breakfast,Paratha,74.01,0,1,0,32.26,0.22,53.27,203,200,65.98,56.99,8.990000000000002,90,Thursday,3,1,0,4,0.3,65.772,0.1362534101242801,344.0,298.0,308.57142857142856
2025-01-17,Academic Block Mess,Breakfast,Idli_Dosa,81.33,0,0,0,27.91,0.11,58.39,366,336,117.02,98.47,18.55,90,Friday,4,1,0,4,0.3,118.584,0.1585199111263031,200.0,321.0,294.57142857142856
2025-01-18,Academic Block Mess,Breakfast,Upma,89.07,0,0,0,26.22,0.0,57.72,258,253,82.99,73.74,9.25,90,Saturday,5,1,1,4,0.3,83.592,0.1114592119532473,336.0,266.0,296.7142857142857
2025-01-19,Academic Block Mess,Breakfast,Sandwich,81.34,0,0,0,28.74,0.23,66.46,267,248,89.05,72.91,16.14,90,Sunday,6,1,1,4,0.3,86.508,0.1812464907355418,253.0,274.0,294.85714285714283
2025-01-20,Academic Block Mess,Breakfast,Idli_Dosa,85.42,0,0,0,28.55,0.0,65.6,381,365,124.22,106.48,17.739999999999995,90,Monday,0,1,0,4,0.3,123.444,0.1428111415231041,248.0,319.0,291.14285714285717
2025-01-21,Academic Block Mess,Breakfast,Upma,87.75,0,0,0,29.76,0.0,61.18,317,299,107.92,87.13,20.790000000000006,90,Tuesday,1,1,0,4,0.3,102.708,0.1926426982950334,365.0,338.0,297.7142857142857
2025-01-22,Academic Block Mess,Breakfast,Upma,84.13,0,0,0,29.88,0.0,56.33,317,298,102.25,87.6,14.650000000000006,90,Wednesday,2,1,0,4,0.3,102.708,0.1432762836185819,299.0,344.0,292.14285714285717
2025-01-23,Academic Block Mess,Breakfast,Upma,84.08,0,0,0,30.36,2.16,60.01,341,317,112.04,90.27,21.77000000000001,90,Thursday,3,1,0,4,0.3,110.484,0.1943056051410211,298.0,200.0,285.57142857142856
2025-01-24,Academic Block Mess,Breakfast,Paratha,87.56,0,0,0,30.04,0.0,54.62,416,378,137.35,105.33,32.02,90,Friday,4,1,0,4,0.3,134.784,0.2331270476883873,317.0,336.0,302.2857142857143
2025-01-25,Academic Block Mess,Breakfast,Upma,81.2,0,0,0,27.41,0.0,52.09,257,254,82.0,74.53,7.469999999999999,90,Saturday,5,1,1,4,0.3,83.268,0.0910975609756097,378.0,253.0,308.2857142857143
2025-01-26,Academic Block Mess,Breakfast,Sandwich,81.5,0,0,0,31.53,1.74,61.48,265,257,87.95,73.83,14.120000000000005,90,Sunday,6,1,1,4,0.3,85.86,0.1605457646389994,254.0,248.0,308.42857142857144
2025-01-27,Academic Block Mess,Breakfast,Idli_Dosa,83.78,0,0,0,27.4,0.0,58.79,368,342,118.84,98.29,20.55,90,Monday,0,1,0,4,0.3,119.232,0.1729215752271962,257.0,365.0,309.7142857142857
2025-01-28,Academic Block Mess,Breakfast,Upma,83.42,0,0,0,33.45,0.0,51.0,337,312,114.18,90.89,23.290000000000006,90,Tuesday,1,1,0,4,0.3,109.188,0.2039761779646173,342.0,299.0,306.42857142857144
2025-01-29,Academic Block Mess,Breakfast,Idli_Dosa,91.74,0,0,0,27.01,0.0,56.14,364,355,116.38,103.68,12.699999999999989,90,Wednesday,2,1,0,4,0.3,117.936,0.1091252792576043,312.0,298.0,308.2857142857143
2025-01-30,Academic Block Mess,Breakfast,Sandwich,88.81,0,0,0,31.0,0.0,59.63,343,329,110.55,93.37,17.179999999999993,90,Thursday,3,1,0,4,0.3,111.132,0.1554047942107643,355.0,317.0,316.42857142857144
2025-01-31,Academic Block Mess,Breakfast,Paratha,77.75,0,0,0,32.13,0.0,68.63,404,396,134.53,113.22,21.31,90,Friday,4,1,0,4,0.3,130.896,0.1584033301122426,329.0,378.0,318.14285714285717
2025-02-01,Academic Block Mess,Breakfast,Poha,84.66,0,0,0,28.49,0.0,64.04,293,280,95.29,81.92,13.370000000000005,90,Saturday,5,2,1,4,0.3,94.932,0.1403085318501417,396.0,254.0,320.7142857142857
2025-02-02,Academic Block Mess,Breakfast,Upma,86.58,0,0,0,31.14,0.22,63.51,270,254,86.44,71.13,15.310000000000002,90,Sunday,6,2,1,4,0.3,87.48,0.1771170754280426,280.0,257.0,324.42857142857144
2025-02-03,Academic Block Mess,Breakfast,Sandwich,98.0,1,0,0,28.6,0.0,61.15,317,295,102.2,86.45,15.75,90,Monday,0,2,0,4,0.3,102.708,0.1541095890410959,254.0,342.0,324.0
2025-02-04,Academic Block Mess,Breakfast,Paratha,89.75,0,0,0,31.04,0.68,61.84,414,400,131.55,111.12,20.430000000000007,90,Tuesday,1,2,0,4,0.3,134.136,0.1553021664766249,295.0,312.0,317.2857142857143
2025-02-05,Academic Block Mess,Breakfast,Sandwich,84.15,0,0,0,30.5,2.06,62.0,335,306,110.15,84.81,25.340000000000003,90,Wednesday,2,2,0,4,0.3,108.54,0.2300499319110304,400.0,355.0,329.85714285714283
2025-02-06,Academic Block Mess,Breakfast,Idli_Dosa,71.7,0,1,0,29.49,0.03,58.62,206,200,68.68,56.37,12.31000000000001,90,Thursday,3,2,0,4,0.3,66.744,0.179237041351194,306.0,329.0,322.85714285714283
2025-02-07,Academic Block Mess,Breakfast,Sandwich,82.91,0,0,0,33.89,0.0,58.86,338,319,108.48,94.31,14.170000000000002,90,Friday,4,2,0,4,0.3,109.512,0.1306231563421829,200.0,396.0,304.42857142857144
2025-02-08,Academic Block Mess,Breakfast,Poha,87.71,0,0,0,33.24,1.05,55.55,272,245,88.84,72.16,16.680000000000007,90,Saturday,5,2,1,4,0.3,88.128,0.1877532642953625,319.0,280.0,293.42857142857144
2025-02-09,Academic Block Mess,Breakfast,Sandwich,80.64,0,0,0,28.65,1.52,60.76,260,238,85.85,68.95,16.89999999999999,90,Sunday,6,2,1,4,0.3,84.24000000000001,0.1968549796156085,245.0,254.0,288.42857142857144
2025-02-10,Academic Block Mess,Breakfast,Upma,79.32,0,0,0,30.74,0.0,57.63,326,298,108.53,85.48,23.05,90,Monday,0,2,0,4,0.3,105.624,0.212383672717221,238.0,295.0,286.14285714285717
2025-02-11,Academic Block Mess,Breakfast,Poha,78.57,0,0,0,32.05,0.0,59.11,316,286,101.42,81.74,19.680000000000007,90,Tuesday,1,2,0,4,0.3,102.384,0.1940445671465195,298.0,400.0,286.57142857142856
2025-02-12,Academic Block Mess,Breakfast,Upma,80.67,0,0,0,29.74,0.0,63.95,315,291,105.43,82.21,23.220000000000013,90,Wednesday,2,2,0,4,0.3,102.06,0.2202409181447407,286.0,306.0,270.2857142857143
2025-02-13,Academic Block Mess,Breakfast,Poha,82.2,0,0,0,34.53,0.0,60.98,359,344,121.8,100.19,21.61,90,Thursday,3,2,0,4,0.3,116.31600000000002,0.1774220032840722,291.0,200.0,268.14285714285717
2025-02-14,Academic Block Mess,Breakfast,Sandwich,81.07,0,0,0,32.9,0.0,64.87,330,298,107.56,87.61,19.950000000000003,90,Friday,4,2,0,4,0.3,106.92,0.1854778728151729,344.0,319.0,288.7142857142857
2025-02-15,Academic Block Mess,Breakfast,Paratha,81.49,0,0,0,31.52,0.0,58.28,295,273,93.87,78.28,15.590000000000003,90,Saturday,5,2,1,4,0.3,95.58,0.1660807499733674,298.0,245.0,285.7142857142857
2025-02-16,Academic Block Mess,Breakfast,Sandwich,94.67,0,0,0,31.59,0.0,57.78,279,255,92.85,75.69,17.159999999999997,90,Sunday,6,2,1,4,0.3,90.39600000000002,0.1848142164781906,273.0,238.0,289.7142857142857
2025-02-17,Academic Block Mess,Breakfast,Poha,86.97,0,0,0,34.45,0.7,62.23,386,356,124.45,104.34,20.11,90,Monday,0,2,0,4,0.3,125.064,0.1615910004017677,255.0,298.0,292.14285714285717
2025-02-18,Academic Block Mess,Breakfast,Sandwich,71.52,0,0,0,31.07,0.0,58.4,326,297,107.74,82.94,24.8,90,Tuesday,1,2,0,4,0.3,105.624,0.2301837757564507,356.0,286.0,300.42857142857144
2025-02-19,Academic Block Mess,Breakfast,Upma,69.31,0,0,0,34.19,0.0,57.61,309,290,105.59,80.44,25.15000000000001,90,Wednesday,2,2,0,4,0.3,100.116,0.238185434226726,297.0,291.0,302.0
2025-02-20,Academic Block Mess,Breakfast,Sandwich,84.3,0,0,0,35.72,0.0,57.77,367,354,123.59,98.64,24.950000000000003,90,Thursday,3,2,0,4,0.3,118.908,0.2018771745286835,290.0,344.0,301.85714285714283
