date,mess_name,meal_type,menu_name,hostel_occupancy_pct,exam_day,holiday,special_event,temperature_c,rainfall_mm,humidity_pct,students_expected,students_present,food_prepared_kg,food_consumed_kg,food_wasted_kg,food_cost_per_kg
2025-01-01,Academic Block Mess,Breakfast,Sandwich,85.62,0,0,0,28.81,0.08,58.53,338,317,108.43,90.21,18.22,90
2025-01-01,Academic Block Mess,Dinner,Khichdi,85.62,0,0,0,28.81,0.08,58.53,568,540,254.59,208.76,45.82,105
2025-01-01,Academic Block Mess,Lunch,Biryani,85.62,0,0,0,28.81,0.08,58.53,719,662,341.43,279.94,61.49,110
2025-01-01,Central Mess,Breakfast,Poha,80.52,0,0,0,28.81,0.08,58.53,484,443,152.76,123.11,29.65,90
2025-01-01,Central Mess,Dinner,Pasta,80.52,0,0,0,28.81,0.08,58.53,785,738,340.47,277.81,62.65,105
2025-01-01,Central Mess,Lunch,Paneer_Roti,80.52,0,0,0,28.81,0.08,58.53,995,910,490.33,381.11,109.22,110
2025-01-01,Hostel A Mess,Breakfast,Poha,77.87,0,0,0,28.81,0.08,58.53,373,350,125.88,101.75,24.13,90
2025-01-01,Hostel A Mess,Dinner,Khichdi,77.87,0,0,0,28.81,0.08,58.53,590,538,252.05,198.09,53.95,105
2025-01-01,Hostel A Mess,Lunch,Biryani,77.87,0,0,0,28.81,0.08,58.53,791,771,399.53,328.6,70.92,110
2025-01-01,Hostel B Mess,Breakfast,Poha,83.51,0,0,0,28.81,0.08,58.53,470,453,157.96,129.39,28.56,90
2025-01-01,Hostel B Mess,Dinner,Chole_Bhature,83.51,0,0,0,28.81,0.08,58.53,817,792,361.81,303.73,58.08,105
2025-01-01,Hostel B Mess,Lunch,Rajma_Rice,83.51,0,0,0,28.81,0.08,58.53,917,835,458.11,358.08,100.02,110
2025-01-01,North Mess,Breakfast,Upma,81.98,0,0,0,28.81,0.08,58.53,425,418,141.26,122.59,18.67,90
2025-01-01,North Mess,Dinner,Khichdi,81.98,0,0,0,28.81,0.08,58.53,683,661,295.58,261.21,34.36,105
2025-01-01,North Mess,Lunch,Rajma_Rice,81.98,0,0,0,28.81,0.08,58.53,891,820,441.01,341.13,99.88,110
2025-01-01,South Mess,Breakfast,Upma,81.3,0,0,0,28.81,0.08,58.53,365,335,119.57,92.77,26.81,90
2025-01-01,South Mess,Dinner,Roti_Dal,81.3,0,0,0,28.81,0.08,58.53,657,619,280.42,230.04,50.38,105
2025-01-01,South Mess,Lunch,Rajma_Rice,81.3,0,0,0,28.81,0.08,58.53,799,773,408.84,327.96,80.88,110
2025-01-02,Academic Block Mess,Breakfast,Upma,79.64,0,0,0,24.86,5.04,65.16,316,300,102.7,88.03,14.68,90
2025-01-02,Academic Block Mess,Dinner,Pasta,79.64,0,0,0,24.86,5.04,65.16,560,551,238.52,203.46,35.06,105
2025-01-02,Academic Block Mess,Lunch,Biryani,79.64,0,0,0,24.86,5.04,65.16,757,703,386.9,297.48,89.41,110
