date,mess_name,meal_type,menu_name,hostel_occupancy_pct,exam_day,holiday,special_event,temperature_c,rainfall_mm,humidity_pct,students_expected,students_present,food_prepared_kg,food_consumed_kg,food_wasted_kg,food_cost_per_kg,day_of_week,day_of_week_num,month,is_weekend,semester,portion_kg,planned_preparation_kg,waste_rate,anomaly,anomaly_score
2025-01-01,Academic Block Mess,Breakfast,Sandwich,85.62,0,0,0,28.81,0.08,58.53,338,317,108.43,90.21,18.220000000000013,90,Wednesday,2,1,0,4,0.3,109.512,0.16803467674997705,1,0.1292355987939685
2025-01-01,Academic Block Mess,Dinner,Khichdi,85.62,0,0,0,28.81,0.08,58.53,568,540,254.59,208.76,45.83000000000001,105,Wednesday,2,1,0,4,0.4,245.37600000000003,0.18001492595938573,1,0.1568952122596901
2025-01-01,Academic Block Mess,Lunch,Biryani,85.62,0,0,0,28.81,0.08,58.53,719,662,341.43,279.94,61.49000000000001,110,Wednesday,2,1,0,4,0.45,349.434,0.180095480772047,1,0.16162872495746017
2025-01-01,Central Mess,Breakfast,Poha,80.52,0,0,0,28.81,0.08,58.53,484,443,152.76,123.11,29.64999999999999,90,Wednesday,2,1,0,4,0.3,156.816,0.19409531290913848,1,0.14979367509100283
2025-01-01,Central Mess,Dinner,Pasta,80.52,0,0,0,28.81,0.08,58.53,785,738,340.47,277.81,62.660000000000025,105,Wednesday,2,1,0,4,0.4,339.12,0.18403970981290574,1,0.1461286423369959
2025-01-01,Central Mess,Lunch,Paneer_Roti,80.52,0,0,0,28.81,0.08,58.53,995,910,490.33,381.11,109.21999999999996,110,Wednesday,2,1,0,4,0.45,483.5700000000001,0.22274794526135452,-1,-0.03406329980116529
2025-01-01,Hostel A Mess,Breakfast,Poha,77.87,0,0,0,28.81,0.08,58.53,373,350,125.88,101.75,24.129999999999995,90,Wednesday,2,1,0,4,0.3,120.852,0.19169049888782966,1,0.13299470447633666
2025-01-01,Hostel A Mess,Dinner,Khichdi,77.87,0,0,0,28.81,0.08,58.53,590,538,252.05,198.09,53.96000000000001,105,Wednesday,2,1,0,4,0.4,254.88,0.21408450704225354,1,0.12237927804315335
2025-01-01,Hostel A Mess,Lunch,Biryani,77.87,0,0,0,28.81,0.08,58.53,791,771,399.53,328.6,70.92999999999995,110,Wednesday,2,1,0,4,0.45,384.426,0.17753360198232912,1,0.13487412207972987
2025-01-01,Hostel B Mess,Breakfast,Poha,83.51,0,0,0,28.81,0.08,58.53,470,453,157.96,129.39,28.57000000000002,90,Wednesday,2,1,0,4,0.3,152.28,0.18086857432261344,1,0.14796491220179575
2025-01-01,Hostel B Mess,Dinner,Chole_Bhature,83.51,0,0,0,28.81,0.08,58.53,817,792,361.81,303.73,58.079999999999984,105,Wednesday,2,1,0,4,0.4,352.944,0.16052624305574745,1,0.13537996252526974
2025-01-01,Hostel B Mess,Lunch,Rajma_Rice,83.51,0,0,0,28.81,0.08,58.53,917,835,458.11,358.08,100.03000000000004,110,Wednesday,2,1,0,4,0.45,445.6620000000001,0.21835367051581506,1,0.009986484620094771
2025-01-01,North Mess,Breakfast,Upma,81.98,0,0,0,28.81,0.08,58.53,425,418,141.26,122.59,18.669999999999987,90,Wednesday,2,1,0,4,0.3,137.70000000000002,0.13216763414979463,1,0.11755658802230923
2025-01-01,North Mess,Dinner,Khichdi,81.98,0,0,0,28.81,0.08,58.53,683,661,295.58,261.21,34.370000000000005,105,Wednesday,2,1,0,4,0.4,295.056,0.11627985655321743,1,0.06737124381737303
